time	V(ctle_out)	V(n_3p)
1.171178710937477e-009	-2.218979e-003	1.025526e-003
1.172277343749978e-009	-1.990194e-003	1.086639e-003
1.173375976562478e-009	-1.774035e-003	1.104333e-003
1.174474609374979e-009	-1.570504e-003	1.078606e-003
1.175573242187479e-009	-1.379600e-003	1.009459e-003
1.176671874999980e-009	-1.201323e-003	8.968922e-004
1.177578683035694e-009	-1.072638e-003	7.847911e-004
1.178485491071409e-009	-9.560340e-004	6.693994e-004
1.179392299107124e-009	-8.515112e-004	5.507171e-004
1.180299107142839e-009	-7.590694e-004	4.287442e-004
1.181205915178553e-009	-6.787086e-004	3.034808e-004
1.182112723214268e-009	-6.104288e-004	1.749267e-004
1.183019531249983e-009	-5.542301e-004	4.308209e-005
1.184309988839269e-009	-4.983484e-004	-1.242716e-004
1.185600446428556e-009	-4.508439e-004	-2.532317e-004
1.186890904017842e-009	-4.117164e-004	-3.437981e-004
1.188181361607128e-009	-3.809661e-004	-3.959708e-004
1.189471819196415e-009	-3.585928e-004	-4.097498e-004
1.190762276785701e-009	-3.445967e-004	-3.851352e-004
1.192052734374987e-009	-3.389776e-004	-3.221269e-004
1.193255998883917e-009	-3.257331e-004	-2.116407e-004
1.194459263392846e-009	-3.033888e-004	-7.655576e-005
1.195662527901775e-009	-2.719447e-004	8.312794e-005
1.196865792410704e-009	-2.314008e-004	2.674104e-004
1.198069056919633e-009	-1.817571e-004	4.762916e-004
1.199272321428562e-009	-1.230136e-004	7.097716e-004
1.200475585937492e-009	-5.517033e-005	9.678503e-004
1.201992745535707e-009	5.373492e-005	1.308877e-003
1.203509905133922e-009	1.775335e-004	1.647508e-003
1.205027064732137e-009	3.162254e-004	1.983744e-003
1.206544224330352e-009	4.698106e-004	2.317585e-003
1.208061383928567e-009	6.382892e-004	2.649031e-003
1.209578543526782e-009	8.216611e-004	2.978081e-003
1.211095703124997e-009	1.019926e-003	3.304737e-003
1.212630301339283e-009	1.232589e-003	3.623444e-003
1.214164899553570e-009	1.443900e-003	3.902977e-003
1.215699497767856e-009	1.653859e-003	4.143336e-003
1.217234095982143e-009	1.862467e-003	4.344522e-003
1.218768694196429e-009	2.069722e-003	4.506533e-003
1.220303292410716e-009	2.275626e-003	4.629371e-003
1.221837890625002e-009	2.480178e-003	4.713035e-003
1.223599190848217e-009	2.702810e-003	4.702834e-003
1.225360491071433e-009	2.883523e-003	4.594452e-003
1.227121791294648e-009	3.022317e-003	4.387888e-003
1.228883091517863e-009	3.119192e-003	4.083143e-003
1.230644391741078e-009	3.174148e-003	3.680217e-003
1.232405691964293e-009	3.187186e-003	3.179109e-003
1.234166992187508e-009	3.158304e-003	2.579820e-003
1.235108677455366e-009	3.111326e-003	2.232419e-003
1.236050362723224e-009	3.049429e-003	1.881921e-003
1.236992047991081e-009	2.972614e-003	1.528325e-003
1.237933733258939e-009	2.880879e-003	1.171631e-003
1.238875418526797e-009	2.774226e-003	8.118401e-004
1.239817103794654e-009	2.652655e-003	4.489515e-004
1.240758789062512e-009	2.516164e-003	8.296531e-005
1.241578404017869e-009	2.386571e-003	-2.228244e-004
1.242398018973227e-009	2.251263e-003	-5.127090e-004
1.243217633928584e-009	2.110239e-003	-7.866884e-004
1.244037248883942e-009	1.963500e-003	-1.044763e-003
1.244856863839300e-009	1.811046e-003	-1.286932e-003
1.245676478794657e-009	1.652876e-003	-1.513196e-003
1.246496093750015e-009	1.488992e-003	-1.723554e-003
1.246618164062515e-009	1.464779e-003	-1.752439e-003
1.247943498883944e-009	1.190273e-003	-2.031496e-003
1.249268833705373e-009	9.261252e-004	-2.253913e-003
1.250594168526802e-009	6.723343e-004	-2.419691e-003
1.251919503348232e-009	4.289007e-004	-2.528829e-003
1.253244838169661e-009	1.958243e-004	-2.581328e-003
1.254570172991090e-009	-2.689468e-005	-2.577187e-003
1.255895507812519e-009	-2.392564e-004	-2.516407e-003
1.257133649553591e-009	-4.108760e-004	-2.414115e-003
1.258371791294663e-009	-5.618004e-004	-2.291692e-003
1.259609933035735e-009	-6.920298e-004	-2.149138e-003
1.260848074776808e-009	-8.015640e-004	-1.986453e-003
1.262086216517879e-009	-8.904031e-004	-1.803636e-003
1.263324358258952e-009	-9.585472e-004	-1.600688e-003
1.264562500000024e-009	-1.005996e-003	-1.377609e-003
1.265818080357167e-009	-1.030621e-003	-1.150874e-003
1.267073660714311e-009	-1.041082e-003	-9.350052e-004
1.268329241071454e-009	-1.037379e-003	-7.300025e-004
1.269584821428597e-009	-1.019514e-003	-5.358658e-004
1.270840401785741e-009	-9.874850e-004	-3.525951e-004
1.272095982142884e-009	-9.412927e-004	-1.801904e-004
1.273351562500028e-009	-8.809372e-004	-1.865174e-005
1.274833844866100e-009	-7.964719e-004	1.401199e-004
1.276316127232172e-009	-7.156083e-004	2.503320e-004
1.277798409598244e-009	-6.383464e-004	3.119846e-004
1.279280691964317e-009	-5.646863e-004	3.250778e-004
1.280762974330389e-009	-4.946279e-004	2.896115e-004
1.282245256696461e-009	-4.281712e-004	2.055857e-004
1.283727539062533e-009	-3.653162e-004	7.300042e-005
1.285000558035748e-009	-3.297052e-004	-1.003582e-004
1.286273577008963e-009	-3.120139e-004	-3.054902e-004
1.287546595982178e-009	-3.122423e-004	-5.423957e-004
1.288819614955393e-009	-3.303903e-004	-8.110746e-004
1.290092633928608e-009	-3.664580e-004	-1.111527e-003
1.291365652901823e-009	-4.204454e-004	-1.443753e-003
1.292638671875038e-009	-4.923525e-004	-1.807752e-003
1.293789620535752e-009	-5.796220e-004	-2.152702e-003
1.294940569196467e-009	-6.799168e-004	-2.489740e-003
1.296091517857182e-009	-7.932368e-004	-2.818865e-003
1.297242466517897e-009	-9.195822e-004	-3.140077e-003
1.298393415178612e-009	-1.058953e-003	-3.453377e-003
1.299544363839327e-009	-1.211349e-003	-3.758764e-003
1.300695312500042e-009	-1.376770e-003	-4.056238e-003
1.302142717633971e-009	-1.602856e-003	-4.387955e-003
1.303590122767900e-009	-1.822969e-003	-4.653665e-003
1.305037527901830e-009	-2.037110e-003	-4.853369e-003
1.306484933035759e-009	-2.245277e-003	-4.987066e-003
1.307932338169688e-009	-2.447472e-003	-5.054757e-003
1.309379743303617e-009	-2.643694e-003	-5.056442e-003
1.310827148437547e-009	-2.833942e-003	-4.992121e-003
1.312309430803619e-009	-2.998613e-003	-4.825675e-003
1.313791713169691e-009	-3.127286e-003	-4.596595e-003
1.315273995535763e-009	-3.219961e-003	-4.304880e-003
1.316756277901835e-009	-3.276640e-003	-3.950530e-003
